id,source,rating,theme,purchase_intent,barrier,user_need,behavior,sentiment,evidence
a983cef7-9cec-434a-9ff7-e755f1f3106d,play_store,1,Other,Low,None,None,Unknown,Negative,"first they send the wrong product and then keep claiming that the right product was sent and refuse to listen to the customer, they don't attach the call to the agent to talk to and say they will call back but never call back and refuse to give a refund. Such poor services for a customer who has been using myntra for such a long time. i won't ever use myntra and I will file a consumer complaint against them."
1cedf4fb-0505-4e4b-aeaa-0fc1c7ed2b3e,play_store,1,Other,Unknown,None,None,Purchased,Negative,one of the worst shopping app I placed my order on 9 aug and I received it after 10-15 days and that too late from expected date ok I let it go after that I placed for exchange request and still they have not delivered my parcel like am I supposed to shop on item for whole month it literally going to be 1 month since I ordered they are giving me expected dates then on that they are not delivering it and showing it's getting delayed on top of that help centre is not solving this too worst app 🤮
4d5ba7af-beff-4bef-b859-e9bccb2a90e5,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,Mera Sara product ek accha quality 👌 me aaya hai
73e39101-d06d-4011-acb5-87d19751f8a3,play_store,1,Quality/Trust,Low,Quality doubts,Verified reviews with photos,Purchased,Negative,Extreme unprofessional and poor service platform. The app shows false status updates and the customer service executive shows complete unawarnes to the wrong info on the app. The order placed for express delivery show a false status and the product never delivered or attempted by delivery person. The contact number of delivery executive is incorrect or non working number. I would not recommend the trust the app or the myntra platform.
427ff322-9b15-4a14-a51f-367e79d10161,play_store,5,Other,Unknown,None,None,Unknown,Positive,I just loved their refund policy fastest refund than other
496d30fe-9c4b-4e7e-a9c7-6a778730c5fa,play_store,1,Other,Unknown,None,None,Unknown,Negative,"Order exchange failures due to missing items, seal mismatch, etc stupidity has been frustrating and customer support is a 100% useless"
3b0e330d-1271-416f-873c-06d4c026909b,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,"really myntra is best for shopping,quality is very good"
0ee496c0-b0d1-4246-8b96-d3a43f65a800,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,"one of the best shopping apps, quality of the products 10 on 10"
5a3a101c-b77e-4fe2-be15-f2dd51bb2542,play_store,1,Price/Timing,Low,Waiting for discount,Sale notifications,Purchased,Negative,"1. Selected product for purchase, but price increased suddenly 2. They never keep negative comments, I received a defective product so I shared a review comment, but they rejected 3. A product was showing price ₹699 2 year's back, 2 months back it was ₹1000 but I recently found the same product ₹450. This is huge variations. 4. If you receive the defective product, still they will charge you the Platform fee. crux : Myntra chor hai"
89cbb4a1-96d5-49ef-aff8-0cd20fb265df,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,branded products affordable price
4a488ef1-4486-4c72-9235-987171b46845,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Purchased,Negative,"horrible horrible! I ordered 3 button down collar shirts received 2 numbers poor quality without button down, not matching the advestised photo. Paid 1000rs for each shirt received shirt worth less than 400rs, not worth the money. Tried to leave a poor review on the app, the review was rejected"
b55ba642-626b-475e-b4e2-b674cea35a52,play_store,5,Other,Unknown,None,None,Unknown,Positive,very nice app for budget friendly buy
8e71f6a4-ef8f-4d75-843e-565ae52246dc,play_store,5,Other,Unknown,None,None,Unknown,Positive,"Tried many others but shopping on myntra is the best with the most versatile collections. Wonderful experience shopping on the app. The entire process has always been extremely smooth. The deliveries are prompt, and even the return process is quick and completely hassle-free—just a simple click. What impressed me most was the speed of the refunds... the amount was credited within hours on the very same day. Overall, it has been an amazing shopping experience guaranteed. 😊"
35d719e7-c6f1-4e59-ba52-923443720ab1,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,Authentic and quality products always 😊
6d0b1ab0-0ea5-465c-b947-40a5181b47c3,play_store,1,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Negative,worst customer care service... wrong product delivery... exchange offer is worst
7a70ba9b-74ba-499e-8109-ed677f91e967,play_store,1,Other,High,None,None,Unknown,Negative,"worst app never using this again. i wanted a refund and to get a refund they have specifically made the refund to bank option so painfully annoying that many people would just choose to get their money back as myntra credits(that can only used in myntra). In order to get the money back in bank you have to enter all your bank details, and when you switch app to check them they again refresh the entire app and send you to home. This is intentionally done to make it hard to get back your money"
2348b038-56db-44b1-bece-4b0179abcff7,play_store,1,Social Validation,Low,None,None,Unknown,Negative,"this is a waste and worst app , my order is getting delayed since one month , no specific reason ,no proper responce from the team , very worst shopping experience with myntra ,i recommend you to stop shopping from this app. very worst experience with myntra"
046560fb-5a52-47fd-b175-9017ac0d271f,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,the fabric quality is so good very comfortable and soft material
7929e2df-4ae5-473a-9e7a-6bace4c12094,play_store,1,Other,Unknown,None,None,Unknown,Negative,"The return parcel was already picked up by the delivery person, but the return status is still showing as ‘Return Failed’. I even contacted customer support, but the status has not been updated yet. Today, I received another message asking me to return the parcel. This is very disappointing and inconvenient, and I have not received my refund yet. I have had a very bad experience with this app. I will avoid ordering anything from here again in the future."
6e130ea7-c07f-487c-a946-0c8306e83eb9,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Purchased,Negative,"Delivered wrong product and now not ready to pickup the return, saying that the product is not matched the original product. Are they out of their mind???"
d76c8d32-5eb7-449e-afb4-418cfbc57fbe,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,This is the best shopping app I have ever seen in my entire life best app to use for shipping all the items are of best quality and affordable 😁
e0a58e4d-53de-4d7d-b8a9-7df2207235e4,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,Quality is worthy for money.
b3acdcb6-62bf-4474-b8fc-12deef7b3504,play_store,1,Other,Low,None,None,Unknown,Negative,i never got my refund... consecutively I returned three items of which I have not gotten the refund till now.I'm losing faith in this website as i was very regular customer!
c5bb991a-b2f8-4712-8ffe-eb136c09253f,play_store,1,Styling/Occasion,Unknown,None,None,Purchased,Negative,"I ordered a silver chained rakhi but received a normal threaded rakhi.This is completely unacceptable. The product image and description do not match what was delivered. I have been trying to contact customer support but no proper response. Worst experience ordering from Myntra... Now Myntra is also doing such scams which is not acceptable at all... The seller ""DeoDap"" is not authentic. Scammers are now doing their business in Myntra nd spoiling the image of the app..."
963bbf30-a3bd-40b7-bc12-15356151715a,play_store,1,Other,Unknown,None,None,Purchased,Negative,"I had a very disappointing experience with this app. My return request was kept on hold for 7 days, and despite repeatedly contacting customer support, my issue was not resolved. I spoke with multiple levels of support, including a junior representative, senior representative, and manager. Unfortunately, none of them properly listened to or understood my concern. They repeatedly insisted that the correct product was delivered instead of addressing the actual issue I raised.The biggest problem"
d34fda9f-c95a-406c-917c-127a7fafd544,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,"I love to shop on myntra especially for clothes, their quality is great. Overall a very good experience."
417247b4-adef-451c-8c32-b7f3583b54d9,play_store,1,Other,Unknown,None,None,Unknown,Negative,Return product ke liye delivery person parcel recieve karne hi na aa raha... 3 din ho gaye aaj..totally disappointed 😞
49762eda-e37a-4a0f-ba22-e0cbe7de09f2,play_store,1,Other,Unknown,None,None,Unknown,Negative,"Very disappointing experience with Myntra’s return process. I placed order, and I have been trying to initiate a return. However, every time the delivery agent arrives and enters the seal tag code, the system shows it as “incorrect,” and the return pickup fails. This has already happened three times. Now I’m stuck with the product and potentially have to bear the loss because of a technical/system issue that is clearly not caused by me. What’s even more frustrating is Myntra’s customer support"
b5294115-81a4-4977-9365-7a9965ff6747,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Negative,very bad delivery services booked a serum a week ago on delivery day nobody called or nothing the next Day it says delivery cancelled too bad app go for other apps instead of these fake apps 💩 given one star because needs 1 star to write the review
5421ea6c-8dba-42c5-b89c-1feb3ba142f4,play_store,4,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,good material 👍
5a62218e-5b17-4775-93d9-083274347eb7,play_store,4,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,best quality
acb5b20c-615c-45ef-94eb-ee31d67b2825,play_store,1,Other,Unknown,None,None,Unknown,Negative,I get product but item was missing ana I didn't get my refund and your customers service is very bad
fdca8e65-f48c-4431-9f90-f6e628d9b770,play_store,1,Fit/Size,Unknown,Fit/Size uncertainty,Clearer size guides or AR try-on,Unknown,Negative,I will give 0 review for service... Maine Mera dusra mobile pain myntra login Kiya Tha or order vhi Kiya Tha achanak Mera account deactivate Kar diya gya .. Jo cloth main order Kiya o mujhe exchange karna Tha size thik nehi Aya Tha.. Jo main nehi Kar Pai... bohot bar main Kiya.. but kuch response nehi Aya 7 days main resolve hoga bolke kuch nehi Kiya gya ..koi call vhi nehi Aya ir call receive vhi nehi kya gya .. or avhi tak Mera account deactivate hain .. . ghatiya experience..
2b232afc-82e1-4c3d-a451-4f7f4c38e5f8,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,App for great fashion brands at affordable price
20f71647-5627-461b-b4dd-5a5e52f6b7ff,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Negative,the quality of all shrits and pants are worth to the money suggested to buy
85b0452f-b93b-4588-bccb-3890fb9848ca,play_store,1,Other,Unknown,None,None,Unknown,Negative,fast time order keli tyath pan let ani ata maje cash parth karth nahi ani tyan cha helping no. pan nahi lagth ya pakhsha meesho 10 pattin chagal aap ahe 3rd class app😡😡😡😡😡 frod aap maje 646 rs. budhavlith yani nahi delia refund
c6a4a649-61ea-489e-9062-c70e0b348b84,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,quality with quantity within appropriate amount
8164ef11-effa-4aa8-9e6f-628fc1d435aa,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Negative,"Left Myntra within just one month because of huge losses. I had a very disappointing experience with the delivery and return process. In my experience, I faced cases where delivery personnel allegedly stole the original products, after which the orders were cancelled/returned, leaving me with the loss. As a seller, this experience was extremely frustrating and financially unsustainable. I would strongly recommend other sellers don't come on myntra"
e13281a8-35e5-48f9-aa7e-f0b189d35d1c,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,quality good and service good 😊😊
493c9eb0-01e9-43e9-9a14-0b253357dd0f,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,delivery is so fast it doesn't get late anytime... n quality of the product is top notch is love using Myntra
758f6ce2-4600-46be-8671-071b9cc069ab,play_store,5,Other,Unknown,None,None,Unknown,Positive,the best budget app
47b0a225-47b0-4fe6-8b44-11f8c485950c,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,since from 2 years I'm using myntra amazing products with best price
b013abac-bc28-4588-bb50-9ad20a0e2550,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,Always deliver a good quality of clothes.
64d3e810-301c-481f-829e-2f81e00f2e7f,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Purchased,Positive,order delivered very faster and quality was too good love myntra superb quality
97f3dd84-ecb4-49e0-a4ba-36c545fddf14,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,one of the bestshooping application I am ever using is myntra. the quality is always at its finest
62f2d17d-3036-450f-a579-205c2f4d071c,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,I love this app. All the products quality are awesome. Trending products and offers always available in the festive season.
1f6f3432-5859-4a3c-8227-fef5f1e0eff0,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Negative,"worst app. low quality items and delay in refunds. i am ordering black + 34 your seller sending grey +30 , 3 times and then u make delay in pickup , delay in refunds...idiotic app."
c31721cb-276d-4ce3-a795-917df75cdd2d,play_store,4,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,good app i love his sign up offer🤩
b3e668dd-af77-4eb1-8637-50cc1af5d9b9,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,Timely deliveries with best price
02457b28-116e-4eb5-99aa-a4a3de3bec34,play_store,1,Styling/Occasion,Unknown,None,None,Unknown,Negative,"extremely disappointed experience lately, my order are being cancelled ,after showed delay for days. it's extremely frustrating when we order thing for an occasion and it suddenly got cancelled before an event. Myntra really need to look into it."
ae8d020d-2763-43f3-8157-9e3613ebea1b,play_store,5,Price/Timing,Unknown,Price too high,Price drop alerts or cheaper alternatives,Unknown,Positive,very expensive app You are doing a very good job 😀👍🏻
41ac0c7a-4051-4775-b745-aec5146768f7,play_store,1,Social Validation,Unknown,None,None,Unknown,Negative,"Their refund policy is very poor. They provide a reference number for refunds that haven’t been credited and ask customers to check with their bank. This wastes both time and money. In my case, I have to travel 200 km to my hometown bank just to check why my refund hasn’t been credited."
972f6a36-0bc5-4bcb-9adc-1f4991989ca5,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,reasonable price and good product availablity
4004fbd4-8931-464e-bad9-f4dd6afc2426,play_store,5,Quality/Trust,High,Quality doubts,Verified reviews with photos,Purchased,Positive,I prefer Myntra for fashion products. Quality of fabrics bought from Myntra are always the best. I like it. Thank you Myntra.
df0eec88-48ad-433f-ad3d-31930b78d061,play_store,1,Other,Unknown,None,None,Delayed purchase,Negative,"I order by seeing express delivery, exact date needed , but common that's a complete lie 🤥 I feel frustrated , and cheated , I mean if you can't do it on the perticular time or date just don't promise that , how can count on you , and after all this inconvenience I am not able to talk with delivery person , not able to connect with consumer services, and okay I will cancel and will get refund but what that waiting period, what about mental discomfort I felt with this purchase."
c5219aca-bc2d-4647-9f01-e47c5762bdfc,play_store,5,Styling/Occasion,Unknown,None,None,Unknown,Positive,best app for buying cosmetics and outfit
9b6c67a0-080c-491b-9fa9-14eb6f993749,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,Very good online store with a reasonable price and hassle-free orders.
b053dd4b-7af8-4682-8786-2b8092021e3e,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,quality is very same as photo
cd55709f-ae67-486a-8a26-43b1f261b612,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Negative,"pls dont buy any product its not good quality, i perched one shert its not good and i request for return but they not taken they postpone and 7 days complete im return cancel like this they doing"
f57d72de-5a1c-4c4e-b598-dbaf2d91cea0,play_store,1,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Negative,"Very disappointing experience with Myntra. I received my Big Foz ankle-length boots on 12th Aug and requested a refund due to poor quality. The pickup agent collected both the boots and my jeans on 17th Aug, but I received a refund only for the jeans. The agent falsely reported that he didn’t collect the boots. I’ve been trying to contact customer support for 2 weeks with no proper response. No refund, no update, and no resolution. Really shameful customer service and a total disappointment."
faaa5142-5ba2-4949-8c67-e3cd06f82808,play_store,1,Other,Unknown,None,None,Unknown,Negative,worst in changing bank details and customer service sucks...i can't even chnage my back details and cause of that i got my refund in a bank account that isn't even my anymore.
266d7385-2475-4c19-82ab-539bb8d659df,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,very good in quality fabric very soft and durable .. Rubber qualify looks fine
a97e3ea8-18f3-4db0-ab2d-e8815d30a3f1,play_store,1,Price/Timing,Low,Waiting for discount,Sale notifications,Unknown,Negative,"Genuinely the worst online shopping experience I've had. Product quality is nowhere close to what's shown in photos — items look cheap and different from the listing. Delivery is unreliable, with delays and no proper updates on order status. Getting a refund or return processed is a nightmare — it takes forever and sometimes doesn't happen at all. And when you try to reach customer service, you either get generic copy-paste replies or no real resolution at all. Extremely frustrating and a waste"
069c8e2f-1fd8-4738-a71b-31d97aa5d808,play_store,5,Price/Timing,High,Waiting for discount,Sale notifications,Purchased,Positive,"⭐⭐⭐⭐⭐ I bought these slippers and I’m really happy with them! The quality is excellent, they are very comfortable to wear, and the design looks stylish too. Perfect for daily use and definitely worth the price. Highly recommended! 👍😊"
32014453-d9d5-42e6-a89d-cb83cbc99631,play_store,1,Core Wishlist/Save,Unknown,None,None,Wishlist/save,Negative,Remove Wishlist Limit
188752fc-3cd6-4c9f-8519-d9424c391e52,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,veryy nice quality products
8b1322fa-16a3-4ce1-ac39-1fdc6495d280,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,best quality
b7a3e0ae-8e61-4a7d-9f40-37929d4a639d,play_store,1,Other,Low,None,None,Delayed purchase,Negative,"Extremely disappointing experience with Myntra. I’ve been trying to return a jogger jeans for the last 10 days, but the delivery executive repeatedly fails to turn up and keeps cancelling the pickup. I’ve contacted customer support 4–5 times, but nobody has provided a proper resolution. I’ve received no calls, only assurances that the pickup will happen, which never does. I’m still waiting for my refund. This is not my fault, and Myntra needs to take responsibility and resolve this immediately."
2040b5d3-a649-453f-871d-ff6cb1b6725a,play_store,1,Fit/Size,Unknown,Fit/Size uncertainty,Clearer size guides or AR try-on,Delayed purchase,Negative,"Very bad experience. I ordered a shirt, but unfortunately, the size was incorrect. Since I had used a ₹50 coupon, the return option was not available, so I opted for an exchange instead. However, after waiting 15 days with the exchange still in progress, they suddenly cancelled the exchange. There was no proper explanation or clarity. They simply said, “Sorry, we are unable to deliver the order.” Is this the way to handle a customer’s issue?"
a218a828-cfa4-4afa-af7c-1267457f9fd9,play_store,1,Quality/Trust,Low,Quality doubts,Verified reviews with photos,Purchased,Negative,"I ordered t shirt from myntra. But I didn't received. But, they simply said, u received your order. The customer care number also not response properly. My money and amount are totally waste. I enquired help center. They also not doing anything effectively. All of you be aware. Don't trust."
03460ba7-42b2-459d-8b41-0c32c7da71e1,play_store,1,Core Wishlist/Save,Unknown,None,None,Wishlist/save,Negative,"There is a LIMIT on how many items you can add to your WISHLIST. I like to wishlist a lot to compare them with each other before deciding what to buy. This limit makes it harder to shortlist, and narrows down the options. I enjoy browsing through clothing and wishlisting items on myntra ,it’s almost a hobby for me .Please consider increasing the limit or allowing users to wishlist unlimited items. 9/10 app Btw"
16e28580-e7df-45db-81f8-940551b88e42,play_store,1,Fit/Size,Unknown,Fit/Size uncertainty,Clearer size guides or AR try-on,Purchased,Negative,"myntra has the worst customer care service ... there is no refund for cash on delivery itseems ... how nonsense it is !!! when I tried to change the shirt which I ordered smaller size , the exchange has not done yet and no proper service ... my money also went ... and my time got wasted ... I will file an fir regarding this in the nearest police station"
18b844df-4020-4cfa-89ee-24e2c4acda14,play_store,5,Quality/Trust,Low,Quality doubts,Verified reviews with photos,Unknown,Positive,"> Excellent shopping experience! The app runs very smoothly, huge collection, easy navigation and super fast delivery. Love the quality and offers. Highly recommended! > Best fashion app ever! Easy to use, great deals and always reliable. 5 stars! > Myntra is my go-to for fashion. App is very reliable, never crashe"
5e1545ee-a6e9-40ac-93e2-9469e308c078,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,"All stuff is original and in good quality, worth buying from myntra😍"
d7806d03-2cbc-4576-bed4-da6f4746ed0c,play_store,2,Other,Unknown,None,None,Delayed purchase,Negative,"worst experience, waiting for exchange since 26days, tv ad is ad not real."
e36f1bd7-44a8-43c3-8990-04ac60653593,play_store,5,Price/Timing,Unknown,Price too high,Price drop alerts or cheaper alternatives,Unknown,Positive,MYNTRA IS MANTRA. Because a quality Branded dream products purchased at Very low cost.
d719acf9-f44f-46c9-81e1-83412db47425,play_store,4,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,Good app for quality product and reasonable price.
f0d31b9e-b0b0-4fc7-b1b1-1ba593d77255,play_store,1,Other,Unknown,None,None,Unknown,Negative,why Myntra was deactivated my account without my permission what can i do for return the product who i purchased recently.
eac357eb-ac4f-4b62-87fb-2d2e468c2f05,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,best and affordable price premium products thanks myntra I am satisfied 👍😍
d8599ca4-827e-48ef-b2a2-dd2faf173b5d,play_store,1,Price/Timing,High,Waiting for discount,Sale notifications,Unknown,Negative,"Itna ghatia product kaha se laate ho aap??i wanted to return a product from Moda rapido but due to my busy schedule , I just missed it and was forced to keep the cheap roadside product with me...it's such a waste of my money.Mann toh kar raha hai ki sellers k muh par de kar maaru aisa cheap product..Shame on u Myntra😏😏..U guys just need to stop ur own brands like Moda rapido, dressberry, roadster, Abouk and all or just improve the quality..u just Selling the same product with different names."
7b6a1d4d-0d30-4ec2-b3ad-e5cd260ed2b5,play_store,1,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Negative,cheated with fake discount offers
ba0b0251-b67c-4203-99dd-7c17bea60b06,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,very good app cloth quality is very well price range is also good so buy clothes and etc with myntra go for it 😊👌🏻
fbcc4781-38a4-4ad5-93e6-c0dd4e275fe7,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,"liked it for the quality , please maintain the quality aesthetic forever , timely delivery and great options"
c8099f7c-fdd9-4811-ac00-9986561ede1a,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,Myntra offers excellent products to it's customers. They offer good delivery hassle-free service for it's customers. Myntra gives amazing discounts to it's customers too.
7bc5af24-24f9-4804-81ce-754c7a3d9c87,play_store,4,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,best platform for shopping with affordable price and good quality products
9fba72ed-b3cc-4bc7-9513-df119a51427e,play_store,1,Price/Timing,High,Waiting for discount,Sale notifications,Purchased,Negative,The reject/delete any negative reviews of products lsited on their app. Majority of products listed have AI generated images which do not match the actual product. Even most of the original products sold are 2-3 years old stock bought in bulk on a discount or first copies. Products sold are fake or misleading so much so that even return is a hassle as its rejected for being a fake product.
257a209e-bc38-4376-bb7f-65d285cae5ed,play_store,5,Price/Timing,Unknown,Waiting for discount,Sale notifications,Unknown,Positive,"I rate 10/10. The app run too good in the phone.I used the app past year i face non of the problem in this app.Customer support team talk with kind and calm. the app support very fast dilevery. the product i receive at very good and affordable price. now, i am (insider member+UGC creater)i think app should gave me PR package. Thanks for read"
32b46191-6db7-4741-8d72-2c385815dc11,play_store,4,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,the quality of products 10/10 and the process to buy it is so easy
bba32837-db4b-467e-92be-fa6a0368012e,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,"Really happy with my Myntra shopping experience. The products are good quality, exactly as shown, and there’s a great variety to choose from."
c37f5e25-1d3d-4ac8-8011-bbee616d7ed6,play_store,1,Other,Low,None,None,Purchased,Negative,"Never shopping on Myntra again. I ordered for items that were eligible for return. Once I requested returns, the pickup kept getting postponed, then cancelled. I reached out to customer care multiple time over the past 3 days. Explained the same story n number of times to the AI chatbot, customer executives, senior customer executives. They kept 'raising complaints' on 'top priority basis', only for me to receive return cancellation messages a few hours after the calls."
81d4dd02-e711-4a95-b609-e34550836410,play_store,5,Quality/Trust,Unknown,Quality doubts,Verified reviews with photos,Unknown,Positive,sopping so simple and good products quality delivery so fast and nice
29054f8c-ba04-4e23-8632-94f1b5947cd2,play_store,1,Fit/Size,High,Fit/Size uncertainty,Clearer size guides or AR try-on,Unknown,Negative,"will never buy from this stupid app. I wanted to return the order. Return order was supposed to expire on August 25, my return request was on August 24. however on August 26, it's shown my return request is cancelled. Now I'm unable to return. What now I have to do with the product which doesn't fit my size that too order ed 26 what I have received is 3XL. What kind of behaviour is this"
1d0ea702-91bc-40cb-833d-e09bee4c387e,play_store,5,Other,Unknown,None,None,Purchased,Positive,easy purchase lot's of options and variety and most importantly easy exchange and return ❤️❤️👍
